م	Collective File Name	Context	Ambigous
3656	300-4 Social Sciences	البغدادى" يفرز بنفسه إحدى لجان الدقى بعد إصابة رئيسها بالإعياء	['إصابة']
3704	300-4 Social Sciences	إغلاق «كامب الجابر» للتموين بعد إصابة 236 عاملا بالتسمم الغذائي	['إصابة']
3652	300-4 Social Sciences	الإسعاف": 252 حالة إصابة بالقاهرة والمحافظات فى ذكرى الثورة	['إصابة']
3654	300-4 Social Sciences	الأناضول": إصابة وزير الداخلية السورى بجروح "خطيرة" فى تفجيرات أمس	['إصابة']
3694	300-4 Social Sciences	إبريل": إصابة عضوين بالحركة بطلق نارى جراء اشتباكات التحرير	['إصابة']
3648	300-4 Social Sciences	اشتباك مسلح عقب إصابة دبابة اسرائيلية ومستوطن يطعن فلسطينيا	['إصابة']
3640	300-4 Social Sciences	CNNArabic.com - العراق: إصابة 40 شخصا بانفجار سيارة مفخخة بالموصل	['إصابة']
3642	300-4 Social Sciences	CNNArabic.com - مصادر: إصابة 13 فلسطينيا برصاص مستوطنين يهود	['إصابة']
3638	300-4 Social Sciences	CNNArabic.com - إصابة الرئيس الإسرائيلي بإغماءة في تل أبيب	['إصابة']
3696	300-4 Social Sciences	إرهاب الحاويات" يخلف 300 قتيل و إصابة 3 آلاف شخص	['إصابة']
3660	300-4 Social Sciences	التعليم" و"الصحة": المدرسة بريئة من إصابة صابرين	['إصابة']
3658	300-4 Social Sciences	التعليم" إصابة 239 طالبا بالغدة النكافية و42 حالة بالجيزة	['إصابة']
3662	300-4 Social Sciences	التعليم": 843 إصابة بالغدة النكافية بمدارس 24 محافظة	['إصابة']
3706	300-4 Social Sciences	إنكلترا: إصابة لامبارد تبعده عن مباراة البرازيل	['إصابة']
3714	300-4 Social Sciences	سلامة الأغذية: إصابة بعض الأبقار المحلية بمرض السل	['إصابة']
3700	300-4 Social Sciences	إصابة أربعة عراقيين في انفجار عبوة ناسفة بدوريتهم شمال تكريت	['إصابة']
3672	300-4 Social Sciences	الصحة العالمية": 77201 إصابة بأنفلونزا الخنازير و332 وفاة	['إصابة']
3684	300-4 Social Sciences	الصحة": إصابة 13 مواطنا مصريا قادمين من ليبيا	['إصابة']
3680	300-4 Social Sciences	الصحة": 16125 إصابة بالأنفلونزا منذ ظهور المرض	['إصابة']
3682	300-4 Social Sciences	الصحة": 49 إصابة بعدوى "النكاف" بالجيزة ولا خطورة من المرض	['إصابة']
3688	300-4 Social Sciences	الصحة": حالة إصابة واحدة فى مليونية "الإصرار" حتى الآن	['إصابة']
3710	300-4 Social Sciences	آدمية أو غير آدمية الإصابة إصابة يا أمير	['إصابة']
3690	300-4 Social Sciences	الصحفيين": إصابة مصورين اثنين واحتجاز أخرى واختفاء 3 محررين	['إصابة']
3676	300-4 Social Sciences	الصحة" تعلن عن إصابة جديدة بأنفلونزا الخنازير	['إصابة']
3674	300-4 Social Sciences	الصحة" تعلن اكتشاف حالة إصابة بشرية جديدة بأنفلونزا الطيور	['إصابة']
3678	300-4 Social Sciences	الصحة" تنفي إصابة 5 مواطنين بأنفلونزا الطيور بالأحساء	['إصابة']
3686	300-4 Social Sciences	الصحة": إصابة سيدة من الشرقية بـ"أنفلونزا الطيور"	['إصابة']
3708	300-4 Social Sciences	أكتوبر" تشهد 10 حالات إصابة بأنفلونزا الخنازير	['إصابة']
3702	300-4 Social Sciences	إصابة مواطنين فلسطينيين بنيران قوات الاحتلال على حدود قطاع غزة	['إصابة']
3668	300-4 Social Sciences	الصحة السعودية": 6 حالات إصابة جديدة بأنفلونزا الخنازير	['إصابة']
3644	300-4 Social Sciences	احتفالات السوبر وراء إصابة بركات فى"العين"	['إصابة']
3650	300-4 Social Sciences	اشتباهات بوقوع 228 إصابة بشرية بحمى الوادي المتصدع في السودان	['إصابة']
3712	300-4 Social Sciences	بلع اللسان إصابة خطرة جدا في ملاعب الكرة	['إصابة']
3718	300-4 Social Sciences	وأسفرت الهجمات كذلك عن إصابة أكثر من 300 شخص بجروح.	['إصابة']
3664	300-4 Social Sciences	الداخلية" تؤكد إصابة 40 من قواتها فى أحداث الشغب بالتحرير	['إصابة']
3666	300-4 Social Sciences	الداخلية": إصابة ضابط و6 شرطين فى أحداث أمس بالقاهرة والمحلة	['إصابة']
3698	300-4 Social Sciences	إصابة الرئيس الفنزويلي بنزيف دموي مفاجيء بعد عملية جراحية	['إصابة']
3670	300-4 Social Sciences	الصحة العالمية" تنفي وجود 16 ألف إصابة بالكوليرا في العراق	['إصابة']
3646	300-4 Social Sciences	استغلوا إصابة صاحب الشركة بـ «الزهايمر» وسرقوا 700 ألف جنيه	['إصابة']
3716	300-4 Social Sciences	ما حقيقة إصابة محمد فضل بإصابة مزمنة؟	['إصابة']
78	000-4 Generalities	إقلاع مقاطع الفيديو ذات النطاق العريض.	['إقلاع']
3726	300-4 Social Sciences	إقلاع 324 شخصا عن التدخين في عيادة عجمان	['إقلاع']
3720	300-4 Social Sciences	«إنذار كاذب» يؤخر إقلاع طائرة إماراتية في نيويورك	['إقلاع']
3724	300-4 Social Sciences	الشبورة تؤخر إقلاع 16 طائرة من مطار القاهرة	['إقلاع']
3722	300-4 Social Sciences	الخدمات الأرضية": ضغط العمل وراء تأخر إقلاع الطائرات	['إقلاع']
11342	800-2 Literature & rhetoric _ A	فضيل: الاستغفار بلا إقلاع توبة الكذابين.	['إقلاع']
11612	800-3 Literature & rhetoric _ A	فصل وإن أبرأ البائع ذمة المشتري من الثمن	['أبرأ']
3728	300-4 Social Sciences	* ربيع البرجي أبرق من باريس بالتالي: 	['أبرق']
82	000-4 Generalities	من نسله أتى الخليفة الراشدي: 	['أتى']
80	000-4 Generalities	طعام الآلهة وكيف أتى إلى الأرض	['أتى']
3294	200-1 Religion _ A	باب الدعاء لمن أتى بصدقته.	['أتى']
3736	300-4 Social Sciences	لو أدبته في الأولى لما أتى عليها في الثانية.	['أتى']
3730	300-4 Social Sciences	الاتفاق أتى بالزعامة الشرقاوية من خلال بطولاته	['أتى']
3732	300-4 Social Sciences	الرجل الذي أتى بالجنوب للشرقية	['أتى']
3734	300-4 Social Sciences	أتى الليل بكآبة لونه وصمت ألمه	['أتى']
11344	800-2 Literature & rhetoric _ A	الدهر إذا أتى سجواء سجسج تعقبها بنكباء زعزع.	['أتى']
11678	900-2 Geography & history _ A	استدرجته لما قد أدرجته به حتى أتى لمناياه بمقدار	['أتى']
11842	900-3 Geography & history _ A	أتى أبو جهل في نفر، فخرجت إليهم، فقالوا: أين أبوك؟	['أتى']
84	000-4 Generalities	[تصنيف: أثر اقتصادي في جائحة فيروس كورونا]	['أثر']
86	000-4 Generalities	3- أثر أنابيب التجزئة في زيادة السرعة.	['أثر']
88	000-4 Generalities	4- أثر بعد عين "دراسات أدبية ونقدية" طرابلس 1983م.	['أثر']
92	000-4 Generalities	تقييم أثر تغير المناخ	['أثر']
90	000-4 Generalities	الإرضاع: لم يحدد أثر الدواء في الإرضاع.	['أثر']
3738	300-4 Social Sciences	(الميدان) أثر إيجابيا في لاعبي الأخضر	['أثر']
3740	300-4 Social Sciences	ابتعاد الخالدي أثر في حراسة فارس الدهناء	['أثر']
3746	300-4 Social Sciences	الأخ عبدالهادي نعم لها أثر.	['أثر']
3760	300-4 Social Sciences	هل أثر الدوري العام هذا الموسم على منتخب مصر؟	['أثر']
3750	300-4 Social Sciences	العلميين" تناقش أثر التغيرات المناخية على سواحل مصر	['أثر']
3748	300-4 Social Sciences	البيئة" تطالب "كفر الشيخ" بدراسات تقييم أثر بيئى للمشروعات الجديدة	['أثر']
3742	300-4 Social Sciences	ابدأ" تنظم أكبر حوار مجتمعى لمناقشة أثر التعديلات الضريبية الجديدة	['أثر']
3754	300-4 Social Sciences	أثر الأدب فى تحديد الهوية" بثقافة بورسعيد	['أثر']
3756	300-4 Social Sciences	أثر القنوات الفضائية" كتاب يعكس تأثر الأسرة بالتليفزيون	['أثر']
3752	300-4 Social Sciences	المركزي" الياباني يهون من أثر قوة الين في صادرات البلاد	['أثر']
3744	300-4 Social Sciences	اقتفاء أثر الفينيقيين بواسطة الحمض النووى	['أثر']
3758	300-4 Social Sciences	أنت والبنوك" مؤتمر يناقش أثر الأزمة المالية على الاقتصاد	['أثر']
11844	900-3 Geography & history _ A	أضحى لعصف البلى في ربعه أثر وللدموع على الآثار آثار	['أثر']
94	000-4 Generalities	وقدر وزنها بمنا وسبعة أثمان (7/8).	['أثمان']
3762	300-4 Social Sciences	CNNArabic.com - تعويض أثمان حفل جاكسون الأخير بتذاكر "تأبينية" للمعجبين	['أثمان']
3766	300-4 Social Sciences	تسليم أثمان الأقطان لمزارعى البحيرة الاثنين القادم	['أثمان']
3764	300-4 Social Sciences	ارتفاع أثمان بطاقة Arte وظهور لافت لبطاقة مقرصنة	['أثمان']
96	000-4 Generalities	1- أن يمضي صدقة الملتقط، فله بذلك أجر الصدقة.	['أجر']
98	000-4 Generalities	عدم الحصول على أجر.	['أجر']
3296	200-1 Religion _ A	باب أجر الحاكم إذا اجتهد فأصاب أو أخطأ .	['أجر']
3770	300-4 Social Sciences	50 ألف دولار أجر ريهانا خلال ساعة	['أجر']
3774	300-4 Social Sciences	الآثار" ترفع أجر العاملين "المتعاقدين"	['أجر']
3778	300-4 Social Sciences	المالية": 684 جنيها أجر الموظف المستجد بالجهاز الإدارى للدولة	['أجر']
3776	300-4 Social Sciences	التعبئة والإحصاء": 88% من عمالة الأطفال بدون أجر	['أجر']
3780	300-4 Social Sciences	نطاقات" تشترط ثلاثة آلاف ريال أجر العامل السعودي	['أجر']
3772	300-4 Social Sciences	ادعت اختطافها وتصويرها عارية لعدم تقاضيها أجر ليلة حمراء	['أجر']
3768	300-4 Social Sciences	«الشورى» السعودي: أجر ريكارد يساوي رواتب عشرة وزراء	['أجر']
11346	800-2 Literature & rhetoric _ A	وإن تؤمنوا وتتقوا فلكم أجر عظيم .	['أجر']
11846	900-3 Geography & history _ A	أجر هوى في الحب أذيالي	['أجر']
100	000-4 Generalities	أجمع الزهور الشمالية ليكتمل الجنوب	['أجمع']
3398	200-2 Religion _ A	باب صلاة المسافر إذا أجمع مكثا.	['أجمع']
3784	300-4 Social Sciences	الرقيب: متانة علاقات المملكة بدول العالم أجمع	['أجمع']
3788	300-4 Social Sciences	محمد على كلاى: كان والدا للعالم أجمع	['أجمع']
3782	300-4 Social Sciences	الأمير محمد بن فهد: أثبتنا للعالم أجمع ولاء الوطن لقيادته	['أجمع']
3786	300-4 Social Sciences	آفاق السياسة السعودية الحكيمة ترفرف لخير العالم أجمع	['أجمع']
11348	800-2 Literature & rhetoric _ A	الخير أجمع فيما يصنع الله	['أجمع']
102	000-4 Generalities	قوله تعالى: "أحل لكم ليلة الصيام الرفث إلى نسائكم"	['أحل']
3790	300-4 Social Sciences	لماذا نحرم أنفسنا من التمتع بما أحل لنا ؟!	['أحل']
11316	500-600-2 Mathematics, Natural & Applied Sciences _ A	ومتى اكتحل به أحل البصر .	['أحل']
11848	900-3 Geography & history _ A	أحل عقد البند من خصره وألثم الشامات في خده	['أحل']
3792	300-4 Social Sciences	معتصم النهار: مهمتي كممثل بالدرجة الأولى أن أخلق تميزي!	['أخلق']
11264	400-3 Language _ A	وقالوا: همدت النار، ثم قالوا: همد الثوب إذا أخلق.	['أخلق']
104	000-4 Generalities	أدار الأكاديمية سابقا صالح إبراهيم، حاليا يديرها الطاهر الشريف.	['أدار']
3800	300-4 Social Sciences	مشعل: بوش أدار ظهره للعرب والفلسطينيين	['أدار']
3798	300-4 Social Sciences	أسبانيا تعتقل مغربيا أدار موقعا إلكترونيا للإرهاب	['أدار']
3794	300-4 Social Sciences	أدار الحوار: نيفين أبو لافي	['أدار']
3796	300-4 Social Sciences	أدار الندوة نائب رئيـس التحــرير محمد البكر	['أدار']
106	000-4 Generalities	التحقيق الذي أدى إلى اعتقاله.	['أدى']
108	000-4 Generalities	أدى ذلك إلى استقالته من معهد الشرق الألماني.	['أدى']
3298	200-1 Religion _ A	باب ما أدى زكاته فليس بكنز.	['أدى']
3400	200-2 Religion _ A	باب عتق المكاتب إذا أدى ما عليه قبل محله.	['أدى']
3504	200-3 Religion _ A	أحدهما: من أدى واجبا عن غيره.	['أدى']
3808	300-4 Social Sciences	إسرافه في تناول الكحول أدى إلى اعتقاله	['أدى']
3804	300-4 Social Sciences	التنظيم والإدارة": غياب الإصلاح أدى لانتشار الفساد بمؤسسات الدولة	['أدى']
3810	300-4 Social Sciences	أفراد الشرطة": فشل القيادات الفاسدة بالداخلية أدى إلى اعتصامنا	['أدى']
3806	300-4 Social Sciences	الربيع العربي أدى إلى وصول تيارات اسلامية منغلقة إلى الحكم"	['أدى']
3802	300-4 Social Sciences	«الشيوخ الأميركي»: تقصير أمني أدى لمحاولة تفجير «طائرة الميلاد»	['أدى']
3812	300-4 Social Sciences	أسعف المسعفين يا د. هلال	['أسعف']
11850	900-3 Geography & history _ A	فلما وقف على كتابه، أسعف بإعتابه.	['أسعف']
110	000-4 Generalities	2- الأنبا بفنوتيوس أسقف ابرشيه سمالوط وطحا الأعمدة	['أسقف']
114	000-4 Generalities	أسقف دنيبرو كريفي ريه سيميون	['أسقف']
112	000-4 Generalities	القديس الأنبا ابرام أسقف الفيوم	['أسقف']
3816	300-4 Social Sciences	الاعتداء على أسقف في عين سعادة	['أسقف']
3814	300-4 Social Sciences	CNNArabic.com - أسقف أنكر "الهولوكوست" يعود إلى بريطانيا "مطرودا"	['أسقف']
3818	300-4 Social Sciences	أسقف حديثة تختصر زمن تنفيذ المشاريع	['أسقف']
116	000-4 Generalities	أسكن بوسيدون أبناءه في جزيرة الأوتوتثون ووفر لهم وسائل العيش.	['أسكن']
3820	300-4 Social Sciences	وتقل لي إن أسل.. لك ابني ما تريد.. تلك داري	['أسل']
118	000-4 Generalities	أصاب سبيل الله خـير سـبـيل	['أصاب']
3824	300-4 Social Sciences	«الوفد»: أصاب الشعب بالإحباط الشديد	['أصاب']
3828	300-4 Social Sciences	إصلاحيو الإخوان: "بديع" أصاب الجماعة بالإحباط	['أصاب']
3822	300-4 Social Sciences	«الاتصالات المتكاملة» تنجز إصلاح العطل الذي أصاب كيبلاتها البحرية	['أصاب']
3826	300-4 Social Sciences	التحقيق في خطأ طبي أصاب مريضة بالعقم	['أصاب']
11350	800-2 Literature & rhetoric _ A	1661 - ربما أصاب الغبي رشده	['أصاب']
122	000-4 Generalities	أطلق محفوض خلال فترة الاحتلال مؤلفات عديدة أبرزها: 	['أطلق']
120	000-4 Generalities	اعتقل لاحقا ثم أطلق سراحه وعاد إلى خانقين.	['أطلق']
3842	300-4 Social Sciences	هيئة" الخميس تضبط مروجا أطلق النار عليهم	['أطلق']
3832	300-4 Social Sciences	الأصالة": على من أطلق الشباب للعباسية مطالبتهم بترك الميدان	['أطلق']
3830	300-4 Social Sciences	اعتقال مراهق أطلق النار قرب روضة أطفال بفرنسا	['أطلق']
3836	300-4 Social Sciences	المحافظين": الرئيس مسئول عن أحداث رفح لأنه أطلق "إرهابيين"	['أطلق']
3840	300-4 Social Sciences	قبة حديدية" تعترض صاروخا فلسطينيا أطلق باتجاه تل أبيب	['أطلق']
3834	300-4 Social Sciences	الشرطي أطلق النار ولم يتعمد قتل الضحية"	['أطلق']
3838	300-4 Social Sciences	أطلق لخيالك العنان"..مسابقة علمية بمكتبة الإسكندرية	['أطلق']
126	000-4 Generalities	أعدم عام 1769 وخلفه شقيقه إسماعيل.	['أعدم']
124	000-4 Generalities	أعدم النظام الصدامي البائد واحدا وعشرين رجلا من عائلته.	['أعدم']
3844	300-4 Social Sciences	الظواهري أعدم طفلين بتهمة محاولة اغتياله	['أعدم']
3848	300-4 Social Sciences	شبيه صدام: صدام الحقيقي هو الذي أعدم	['أعدم']
3846	300-4 Social Sciences	الوطنى السورى: الأسد أعدم 20 شخصا رميا بالرصاص فى درعا	['أعدم']
128	000-4 Generalities	ولد في مدينة معسكر الواقعة بالغرب الجزائري وهو أعزب.	['أعزب']
3850	300-4 Social Sciences	عارض الأزياء البريطانى ديفيد غاندى أعزب من جديد	['أعزب']
132	000-4 Generalities	أعمدة ساخرة بدلا من الصحف	['أعمدة']
130	000-4 Generalities	ارتكزت عقيدة المنظمة على أعمدة أربعة هي: 	['أعمدة']
3852	300-4 Social Sciences	{الأشغال}: أعمدة المشاتل تخص جهة أخرى	['أعمدة']
3854	300-4 Social Sciences	«مدني» الباحة يخمد نيرانا اشتعلت في أعمدة الكهرباء	['أعمدة']
3862	300-4 Social Sciences	حريات جامعة الإسكندرية": المحافظ الجديد من أعمدة النظام السابق	['أعمدة']
3858	300-4 Social Sciences	الكهرباء" تطلب عدم الاقتراب من أعمدة المكلس	['أعمدة']
3860	300-4 Social Sciences	أعمدة إنارة تعمل إلكترونيا بالمناطق العشوائية فى الجيزة	['أعمدة']
3864	300-4 Social Sciences	نيسان " تقتل قائدها وتحطم 3 أعمدة كهرباء	['أعمدة']
3856	300-4 Social Sciences	استبدلنا أعمدة الإنارة القديمة بحي النخيل بالدمام	['أعمدة']
11614	800-3 Literature & rhetoric _ A	فالأول الأتباع والثاني أعمدة الخيام، كقول آخر: 	['أعمدة']
3866	300-4 Social Sciences	9" أعيان وقفية مجهولة في بلاغات لأوقاف مكة المكرمة	['أعيان']
3868	300-4 Social Sciences	الأمير فيصل بن بندر يلتقي أعيان الشيحية	['أعيان']
11680	900-2 Geography & history _ A	أعيان الكتاب في دولة المرابطين	['أعيان']
11852	900-3 Geography & history _ A	الحلبي ، من أعيان بلده .	['أعيان']
11854	900-3 Geography & history _ A	العابد، الإمام، مولى بني سعد، من أعيان مشايخ البصرة.	['أعيان']
134	000-4 Generalities	(في ديار بكر) أقام دولة الخروف الابيض	['أقام']
136	000-4 Generalities	أقام الجولاني في عمان، وعاد لاحقا إلى الضفة الغربية.	['أقام']
140	000-4 Generalities	أقام معرضين شخصيين 67 – 76	['أقام']
138	000-4 Generalities	أقام زمان العديد من المعارض الفنية الداخلية والخارجية من بينها: 	['أقام']
3300	200-1 Religion _ A	باب إذا أقام بأرض العدو يقصر.	['أقام']
3870	300-4 Social Sciences	«البحري» أقام دورة تدريبية لإعداد مدربي الشراع	['أقام']
3872	300-4 Social Sciences	السجن لشاب أقام علاقة غير شرعية بفتاة	['أقام']
3874	300-4 Social Sciences	من أقام ويقيم الأصنام؟	['أقام']
11856	900-3 Geography & history _ A	أجرى المدامع بالدم المهراق*خطب أقام قيامة الآماق	['أقام']
3876	300-4 Social Sciences	أقلع عن التدخين فصار مليونيرا!	['أقلع']
3878	300-4 Social Sciences	نادي المحافظة أقلع برياضة الغطس	['أقلع']
11858	900-3 Geography & history _ A	أقلع عن صبوته، واحتبى من التخلي بحبوته.	['أقلع']
144	000-4 Generalities	في عام 1971، ألقى محاضرات جون لوك في جامعة أكسفورد.	['ألقى']
142	000-4 Generalities	ألقى الرئيس الدولي في سالتسجوبادن الكلمة الختامية للمؤتمر.	['ألقى']
3882	300-4 Social Sciences	اعتقال كردي ألقى بحذائه على اردوغان في اسبانيا	['ألقى']
3886	300-4 Social Sciences	الشاعر" ألقى القبض على ضابط خالف تعليمات المرور	['ألقى']
3888	300-4 Social Sciences	هانى ألقى بنفسه فى النيران وسط ذهول الجميع	['ألقى']
3880	300-4 Social Sciences	استسلام شخص ألقى قنابل على الجيش	['ألقى']
3884	300-4 Social Sciences	الإفراج عن الشاب الذي ألقى الموزة على ألفيس	['ألقى']
11352	800-2 Literature & rhetoric _ A	1694 - قولهم ما ألقى له بالا	['ألقى']
146	000-4 Generalities	1- بناء على أمر من المقام السامي.	['أمر']
148	000-4 Generalities	3)العودة إلى الوضع السابق أمر مستحيل	['أمر']
184	000-4 Generalities	بعد ذلك، أمر الفيفا ميلان بدفع تعويضات بوكا.	['أمر']
